dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-LR,LR,valid,402,0.7,0.9615384615384616,0.96875,0.9890625,0.9814790122588113,0.9523809523809523,0.9231861823449954,0.9090909090909091,1.0,0.9375,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-LR,LR,test,402,0.7,0.8636363636363636,0.8356097560975609,0.9326829268292682,0.8927488962071146,0.8,0.7084881518372367,0.9,0.72,0.9512195121951219,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-SVC,SVC,valid,402,0.43999999999999995,0.9807692307692307,0.984375,0.9875,0.9767387525185514,0.975609756097561,0.9605306073306814,0.9523809523809523,1.0,0.96875,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-SVC,SVC,test,402,0.43999999999999995,0.8636363636363636,0.8434146341463415,0.9229268292682927,0.8729288018601568,0.8085106382978723,0.7067617668790179,0.8636363636363636,0.76,0.926829268292683,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-RF,RF,valid,402,0.4799999999999999,0.9230769230769231,0.91875,0.975,0.9644974306147582,0.9,0.8375,0.9,0.9,0.9375,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-RF,RF,test,402,0.4799999999999999,0.8333333333333334,0.811219512195122,0.8936585365853659,0.8359796773241296,0.7659574468085106,0.64050285123411,0.8181818181818182,0.72,0.9024390243902439,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-MLP,MLP,valid,402,0.74,0.9230769230769231,0.9,0.9671875,0.9597473088852402,0.8888888888888888,0.8432740427115678,1.0,0.8,1.0,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-MLP,MLP,test,402,0.74,0.7727272727272727,0.715609756097561,0.9121951219512194,0.8438693911644377,0.6153846153846154,0.5116755287190267,0.8571428571428571,0.48,0.9512195121951219,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-CatBoost,CatBoost,valid,402,0.4799999999999999,0.9423076923076923,0.953125,0.978125,0.9649590126599146,0.9302325581395349,0.8877181299606703,0.8695652173913043,1.0,0.90625,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_3,42,Descriptor_ESM2,Descriptor_ESM2-CatBoost,CatBoost,test,402,0.4799999999999999,0.8333333333333334,0.811219512195122,0.8926829268292683,0.8509807902859519,0.7659574468085106,0.64050285123411,0.8181818181818182,0.72,0.9024390243902439,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_3,42,A1FlatFull_ESM2,A1FlatFull_ESM2-LR,LR,valid,1226,0.31999999999999995,0.9807692307692307,0.984375,0.990625,0.9836435144233133,0.975609756097561,0.9605306073306814,0.9523809523809523,1.0,0.96875,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,42,A1FlatFull_ESM2,A1FlatFull_ESM2-LR,LR,test,1226,0.31999999999999995,0.8787878787878788,0.871219512195122,0.9317073170731708,0.9053757541123271,0.84,0.7424390243902439,0.84,0.84,0.9024390243902439,"{""C"": 1.0, ""class_weight"": ""balanced""}"
