seed,step,model,feature_set,n_features,score_mode,val_selection_score,params,val_rmse,val_mae,val_spearman,val_bias,val_top5_hit_rate,val_top10_hit_rate,val_top20_hit_rate,val_strong_n,val_strong_rmse,val_strong_mae,val_strong_bias,test_rmse,test_mae,test_spearman,test_bias,test_top5_hit_rate,test_top10_hit_rate,test_top20_hit_rate,test_strong_n,test_strong_rmse,test_strong_mae,test_strong_bias,selected_k,base_feature_set,strong_weight_alpha
62,01_anchor_baseline,A1FlatFull-TunedSVR,A1FlatFull,906,rmse,1.0167228425137862,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0167228425137862,0.7895692610724762,0.267223053313115,-0.08078867632861919,0.2,0.3,0.35,2,1.9440564804330038,1.8627988384586047,-1.8627988384586047,0.9844447951339206,0.7465733197467432,0.4853945954238048,0.06304759700929191,0.4,0.3,0.6,2,1.7110364244894578,1.615738864150258,-1.615738864150258,,,
62,01_anchor_baseline,A1FlatDiagOnly-TunedSVR,A1FlatDiagOnly,375,rmse,1.0017831574475748,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": ""scale""}",1.0017831574475748,0.7391171720760326,0.36303353193176346,-0.11364393139654434,0.2,0.3,0.5,2,1.5085691104314807,1.4345531745192743,-1.4345531745192743,1.0010356360531774,0.762706501712012,0.46999746313438984,-0.05828101333730758,0.4,0.4,0.6,2,1.834551993665975,1.7904032703107875,-1.7904032703107875,,,
62,01_anchor_baseline,A1FlatPairOnly-TunedSVR,A1FlatPairOnly,450,rmse,1.0458024155839756,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",1.0458024155839756,0.7960977188418265,0.28055533686085243,-0.16559326129932753,0.2,0.3,0.5,2,1.4381612470445078,1.4041551801537184,-1.4041551801537184,1.0590193915667512,0.8260957218619637,0.3889875512025819,-0.11388726219304966,0.4,0.3,0.55,2,1.6906756359958726,1.654655594042548,-1.654655594042548,,,
62,01_anchor_baseline,A1FlatNoHeur-TunedSVR,A1FlatNoHeur,831,rmse,1.0007188462182781,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.01}",1.0007188462182781,0.7368732724951522,0.37783551602807036,-0.11253149876674093,0.2,0.3,0.55,2,1.5220873540552726,1.491179601294664,-1.491179601294664,0.9948399171297383,0.7529648654206849,0.44809154310444954,-0.016404579011652855,0.4,0.3,0.55,2,1.705567910417994,1.6303995495768435,-1.6303995495768435,,,
62,01_anchor_baseline,A1FlatNoPairwise-TunedSVR,A1FlatNoPairwise,456,rmse,1.013268953578471,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",1.013268953578471,0.7351203488164932,0.33684136858404307,-0.06337812019716405,0.2,0.3,0.5,2,1.3750415677920782,1.3034006262820235,-1.3034006262820235,1.0142082204154865,0.7658328499729926,0.46186147845873315,0.009254723122095264,0.4,0.4,0.6,2,1.825457902711256,1.7616818039572266,-1.7616818039572266,,,
62,01_anchor_baseline,A1FlatDiagCorePair-TunedSVR,A1FlatDiagCorePair,700,rmse,0.9973130948398948,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",0.9973130948398948,0.7677194067974086,0.3201147766265142,-0.09219007488724007,0.2,0.3,0.45,2,1.8060716886340051,1.750684418062257,-1.750684418062257,0.9747516607006429,0.7460933390808099,0.4931456517922262,0.038338801922958646,0.4,0.3,0.6,2,1.6716903404531982,1.5915334390255798,-1.5915334390255798,,,
62,01_anchor_baseline,A1FlatDiagCoreTerminalPair-TunedSVR,A1FlatDiagCoreTerminalPair,775,rmse,0.9988381524868318,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",0.9988381524868318,0.73168159428878,0.368597398294205,-0.11316248299910395,0.2,0.3,0.55,2,1.5262959128520834,1.482960645772637,-1.482960645772637,0.9932183218226003,0.7542183375074563,0.45493276892849643,-0.027582203875032026,0.4,0.3,0.45,2,1.6518937380229517,1.5850481654540234,-1.5850481654540234,,,
62,01_anchor_baseline,A1FlatDiagAllPair-TunedSVR,A1FlatDiagAllPair,825,rmse,0.9986737959842719,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",0.9986737959842719,0.7308954264202812,0.3703645382395088,-0.10867124168090449,0.2,0.3,0.55,2,1.5234858721924731,1.4808392324947524,-1.4808392324947524,0.9918048004099549,0.7522897120700393,0.45948192165036905,-0.023742443349832446,0.4,0.4,0.45,2,1.6503314126984918,1.5837985809357313,-1.5837985809357313,,,
62,02_full_adaptive_selected_baseline,A1FlatSelected-TunedSVR,A1FlatFull_AdaptiveSelected,200,rmse,0.9663380383713613,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",0.9663380383713613,0.7297484873731772,0.41022141740190493,-0.06714708579320963,0.2,0.3,0.55,2,1.4584934169141328,1.430937814168384,-1.430937814168384,1.033707231951345,0.7872339742414042,0.41416536184402286,0.0013986155932371768,0.4,0.4,0.55,2,2.091510863124493,2.047391846565857,-2.047391846565857,200.0,A1FlatFull,
62,03_diagcorepair_selected_svr,A1FlatDiagCorePairSelectedK50-TunedSVR,A1FlatDiagCorePair_SelectedK50,50,rmse,1.01922511984316,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",1.01922511984316,0.7782211212162846,0.24760954956375328,-0.1545164994051253,0.2,0.3,0.5,2,1.638239003424578,1.5931541391863475,-1.5931541391863475,1.0703981272354048,0.8438581908216648,0.35789584202270663,-0.0637914395281041,0.4,0.2,0.5,2,1.9361907813159709,1.9034774341655871,-1.9034774341655871,50.0,A1FlatDiagCorePair,
