dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_5,42,SeqOnly,SeqOnly-LR,LR,valid,130,0.42999999999999994,0.5769230769230769,0.5899289389855427,0.5719186473903455,0.4654570907246552,0.56,0.17780031151168843,0.4861111111111111,0.660377358490566,0.5194805194805194,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-LR,LR,test,130,0.42999999999999994,0.6358024691358025,0.6358901515151515,0.6698232323232324,0.5722744216823954,0.5874125874125874,0.26740574739233647,0.5454545454545454,0.6363636363636364,0.6354166666666666,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-SVC,SVC,valid,130,0.59,0.676923076923077,0.6125949522175937,0.6728742955158049,0.6014109974756437,0.4,0.3282226379144651,0.8235294117647058,0.2641509433962264,0.961038961038961,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-SVC,SVC,test,130,0.59,0.654320987654321,0.5899621212121212,0.7181186868686869,0.630196923675302,0.36363636363636365,0.2580607224699259,0.7272727272727273,0.24242424242424243,0.9375,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-RF,RF,valid,130,0.5299999999999999,0.7076923076923077,0.6797353589806421,0.7397696642979662,0.6438754978256438,0.5957446808510638,0.3801542803342543,0.6829268292682927,0.5283018867924528,0.8311688311688312,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-RF,RF,test,130,0.5299999999999999,0.6419753086419753,0.6174242424242424,0.7017045454545454,0.6246306257625511,0.5245901639344263,0.24263218028141023,0.5714285714285714,0.48484848484848486,0.75,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-MLP,MLP,valid,130,0.41999999999999993,0.6076923076923076,0.6159029649595686,0.6072041166380788,0.4975336512127514,0.5785123966942148,0.22806442052783749,0.5147058823529411,0.660377358490566,0.5714285714285714,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-MLP,MLP,test,130,0.41999999999999993,0.6049382716049383,0.6145833333333333,0.6403093434343434,0.5145165632607643,0.5789473684210527,0.2256332039334155,0.5116279069767442,0.6666666666666666,0.5625,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-CatBoost,CatBoost,valid,130,0.58,0.676923076923077,0.6537613330066161,0.6824307767703994,0.6482008962989689,0.5714285714285714,0.31764696391652675,0.6222222222222222,0.5283018867924528,0.7792207792207793,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_5,42,SeqOnly,SeqOnly-CatBoost,CatBoost,test,130,0.58,0.6481481481481481,0.6107954545454546,0.6576704545454546,0.5714257881896196,0.4864864864864865,0.24308621740219888,0.6,0.4090909090909091,0.8125,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-LR,LR,valid,22,0.5599999999999999,0.6384615384615384,0.6301151678510168,0.6190884587111002,0.5218663003325712,0.5688073394495413,0.2582446576663577,0.5535714285714286,0.5849056603773585,0.6753246753246753,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-LR,LR,test,22,0.5599999999999999,0.5925925925925926,0.5994318181818181,0.6435448232323232,0.5492519111025975,0.56,0.19555819336710745,0.5,0.6363636363636364,0.5625,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-SVC,SVC,valid,22,0.38999999999999996,0.6307692307692307,0.6589071306052439,0.650698358245528,0.5247580200126214,0.6417910447761194,0.32226721743470466,0.5308641975308642,0.8113207547169812,0.5064935064935064,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-SVC,SVC,test,22,0.38999999999999996,0.5617283950617284,0.5852272727272727,0.6435448232323232,0.5532876930666968,0.5696969696969697,0.1718020331860124,0.47474747474747475,0.7121212121212122,0.4583333333333333,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-RF,RF,valid,22,0.4099999999999999,0.6538461538461539,0.6578044596912521,0.6607449154618966,0.5463767645523394,0.6153846153846154,0.31022058385130397,0.5625,0.6792452830188679,0.6363636363636364,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-RF,RF,test,22,0.4099999999999999,0.6172839506172839,0.6226325757575757,0.6732165404040404,0.5049828585405001,0.581081081081081,0.24104132750047846,0.524390243902439,0.6515151515151515,0.59375,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-MLP,MLP,valid,22,0.48999999999999994,0.6153846153846154,0.5371232541043862,0.47010536633178146,0.41994385482418356,0.1935483870967742,0.14372932673561545,0.6666666666666666,0.11320754716981132,0.961038961038961,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-MLP,MLP,test,22,0.48999999999999994,0.5617283950617284,0.47632575757575757,0.40427714646464646,0.3526716001542879,0.0273972602739726,-0.11441917218156537,0.14285714285714285,0.015151515151515152,0.9375,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-CatBoost,CatBoost,valid,22,0.3499999999999999,0.6153846153846154,0.6488605733888753,0.6580494976721392,0.5573491311779266,0.6376811594202898,0.3075227578952829,0.5176470588235295,0.8301886792452831,0.4675324675324675,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_5,42,PhysChemOnly,PhysChemOnly-CatBoost,CatBoost,test,22,0.3499999999999999,0.5925925925925926,0.6278409090909092,0.6763731060606061,0.5273014007973612,0.6206896551724138,0.26650089544451305,0.5,0.8181818181818182,0.4375,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_5,42,Descriptor,Descriptor-LR,LR,valid,82,0.57,0.6538461538461539,0.6489830923793187,0.6471453075226661,0.5349270810638004,0.5945945945945946,0.29455746430274266,0.5689655172413793,0.6226415094339622,0.6753246753246753,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,Descriptor,Descriptor-LR,LR,test,82,0.57,0.6728395061728395,0.6647727272727273,0.7026515151515151,0.5594155884058928,0.6074074074074074,0.32745896920696643,0.5942028985507246,0.6212121212121212,0.7083333333333334,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,Descriptor,Descriptor-SVC,SVC,valid,82,0.61,0.6692307692307692,0.6061014457240872,0.660622396471453,0.589838133260343,0.39436619718309857,0.30191822581031436,0.7777777777777778,0.2641509433962264,0.948051948051948,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,Descriptor,Descriptor-SVC,SVC,test,82,0.61,0.6234567901234568,0.5568181818181818,0.6985479797979798,0.5907744995342914,0.2988505747126437,0.1662285851638025,0.6190476190476191,0.19696969696969696,0.9166666666666666,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,Descriptor,Descriptor-RF,RF,valid,82,0.33999999999999997,0.6307692307692307,0.6647880421465328,0.7022788532222495,0.6308715791975936,0.6521739130434783,0.3404264274643255,0.5294117647058824,0.8490566037735849,0.4805194805194805,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,42,Descriptor,Descriptor-RF,RF,test,82,0.33999999999999997,0.6111111111111112,0.6482007575757576,0.6922348484848485,0.5346758427894274,0.64,0.31041079770121427,0.5137614678899083,0.8484848484848485,0.4479166666666667,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,42,Descriptor,Descriptor-MLP,MLP,valid,82,0.4499999999999999,0.676923076923077,0.6714040676304827,0.6451850036755696,0.6026239732711722,0.6181818181818182,0.3394967015883237,0.5964912280701754,0.6415094339622641,0.7012987012987013,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,42,Descriptor,Descriptor-MLP,MLP,test,82,0.4499999999999999,0.6419753086419753,0.6339962121212122,0.6803977272727272,0.5927629995491523,0.5735294117647058,0.26581970269748545,0.5571428571428572,0.5909090909090909,0.6770833333333334,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,42,Descriptor,Descriptor-CatBoost,CatBoost,valid,82,0.42999999999999994,0.6846153846153846,0.6984807645185004,0.7108551825532957,0.5883813703552974,0.6666666666666666,0.39129749887848425,0.5857142857142857,0.7735849056603774,0.6233766233766234,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_5,42,Descriptor,Descriptor-CatBoost,CatBoost,test,82,0.42999999999999994,0.6234567901234568,0.6302083333333333,0.7021780303030304,0.5774709681971629,0.5906040268456376,0.25599045253471436,0.5301204819277109,0.6666666666666666,0.59375,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_5,42,A1FlatFull,A1FlatFull-LR,LR,valid,906,0.63,0.6923076923076923,0.6755697133055624,0.6608674344523402,0.5964914347217231,0.6078431372549019,0.35605930808321645,0.6326530612244898,0.5849056603773585,0.7662337662337663,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,A1FlatFull,A1FlatFull-LR,LR,test,906,0.63,0.6604938271604939,0.6425189393939394,0.6963383838383838,0.6167951418444075,0.5669291338582677,0.2890577096953376,0.5901639344262295,0.5454545454545454,0.7395833333333334,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,A1FlatFull,A1FlatFull-SVC,SVC,valid,906,0.63,0.6692307692307692,0.6031609899534428,0.6796128399901985,0.6006095539066407,0.37681159420289856,0.3086145354872868,0.8125,0.24528301886792453,0.961038961038961,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,42,A1FlatFull,A1FlatFull-SVC,SVC,test,906,0.63,0.6172839506172839,0.5445075757575758,0.7092803030303031,0.5907697130517892,0.24390243902439024,0.1466003814986227,0.625,0.15151515151515152,0.9375,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
