dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_3,62,ESM2,ESM2-LR,LR,valid,320,0.9099999999999999,0.68,0.6222222222222222,0.6288888888888889,0.520510932836061,0.45454545454545453,0.3073393159249119,0.7142857142857143,0.3333333333333333,0.9111111111111111,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,62,ESM2,ESM2-LR,LR,test,320,0.9099999999999999,0.5957446808510638,0.5507518796992481,0.643796992481203,0.5358769940012277,0.3870967741935484,0.11423871213925353,0.5,0.3157894736842105,0.7857142857142857,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,62,ESM2,ESM2-SVC,SVC,valid,320,0.4699999999999999,0.6533333333333333,0.6222222222222222,0.6266666666666666,0.49867934880855036,0.5185185185185185,0.2567180154051351,0.5833333333333334,0.4666666666666667,0.7777777777777778,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,62,ESM2,ESM2-SVC,SVC,test,320,0.4699999999999999,0.6595744680851063,0.6423872180451128,0.6052631578947368,0.49366697330530535,0.5675675675675675,0.2874892204131702,0.5833333333333334,0.5526315789473685,0.7321428571428571,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,62,ESM2,ESM2-RF,RF,valid,320,0.43999999999999995,0.6533333333333333,0.6444444444444444,0.6474074074074074,0.5033009310321545,0.5806451612903226,0.2861465445558277,0.5625,0.6,0.6888888888888889,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,62,ESM2,ESM2-RF,RF,test,320,0.43999999999999995,0.6170212765957447,0.6066729323308271,0.6104323308270677,0.4900558622599929,0.5384615384615384,0.2117596280512488,0.525,0.5526315789473685,0.6607142857142857,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,62,ESM2,ESM2-MLP,MLP,valid,320,0.3999999999999999,0.6266666666666667,0.6388888888888888,0.6370370370370371,0.505054832012186,0.6,0.2727723627949905,0.525,0.7,0.5777777777777777,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,62,ESM2,ESM2-MLP,MLP,test,320,0.3999999999999999,0.5319148936170213,0.5310150375939849,0.5968045112781954,0.45757467272443747,0.47619047619047616,0.06089597451658269,0.43478260869565216,0.5263157894736842,0.5357142857142857,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,62,ESM2,ESM2-CatBoost,CatBoost,valid,320,0.48999999999999994,0.6533333333333333,0.6444444444444444,0.6533333333333334,0.5113282937457106,0.5806451612903226,0.2861465445558277,0.5625,0.6,0.6888888888888889,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,62,ESM2,ESM2-CatBoost,CatBoost,test,320,0.48999999999999994,0.6063829787234043,0.5935150375939849,0.5714285714285714,0.45551599655295727,0.5194805194805194,0.18628745605102792,0.5128205128205128,0.5263157894736842,0.6607142857142857,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
