dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_3,42,ESM2,ESM2-LR,LR,valid,320,0.3999999999999999,0.6933333333333334,0.6833333333333333,0.7000000000000001,0.6126902536764998,0.6229508196721312,0.36478009283544005,0.6129032258064516,0.6333333333333333,0.7333333333333333,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,42,ESM2,ESM2-LR,LR,test,320,0.3999999999999999,0.648936170212766,0.6292293233082706,0.6832706766917295,0.6193674214814806,0.547945205479452,0.2623716156833092,0.5714285714285714,0.5263157894736842,0.7321428571428571,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,42,ESM2,ESM2-SVC,SVC,valid,320,0.31999999999999995,0.68,0.7166666666666667,0.7148148148148148,0.5595620015274194,0.6923076923076923,0.44226898133585163,0.5625,0.9,0.5333333333333333,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,42,ESM2,ESM2-SVC,SVC,test,320,0.31999999999999995,0.6382978723404256,0.6710526315789473,0.7227443609022556,0.6051288021588076,0.6530612244897959,0.34940610086690443,0.5333333333333333,0.8421052631578947,0.5,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,42,ESM2,ESM2-RF,RF,valid,320,0.35999999999999993,0.68,0.7166666666666667,0.7422222222222222,0.6317887527661513,0.6923076923076923,0.44226898133585163,0.5625,0.9,0.5333333333333333,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,42,ESM2,ESM2-RF,RF,test,320,0.35999999999999993,0.6276595744680851,0.6494360902255639,0.6987781954887218,0.5892557997961724,0.6236559139784946,0.2976854825338034,0.5272727272727272,0.7631578947368421,0.5357142857142857,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,42,ESM2,ESM2-MLP,MLP,valid,320,0.13999999999999999,0.56,0.6333333333333333,0.6570370370370371,0.5119063805856657,0.6451612903225806,0.3563483225498992,0.47619047619047616,1.0,0.26666666666666666,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,42,ESM2,ESM2-MLP,MLP,test,320,0.13999999999999999,0.574468085106383,0.6428571428571428,0.7481203007518797,0.6579768343175892,0.6551724137931034,0.37308730773659293,0.48717948717948717,1.0,0.2857142857142857,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,42,ESM2,ESM2-CatBoost,CatBoost,valid,320,0.30999999999999994,0.6666666666666666,0.6777777777777778,0.6555555555555556,0.5348659385832006,0.6376811594202898,0.34865090691232714,0.5641025641025641,0.7333333333333333,0.6222222222222222,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,42,ESM2,ESM2-CatBoost,CatBoost,test,320,0.30999999999999994,0.6382978723404256,0.6456766917293233,0.6851503759398496,0.6155971121697225,0.6046511627906976,0.28602654697182783,0.5416666666666666,0.6842105263157895,0.6071428571428571,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
