seed,step,model,feature_set,n_features,score_mode,val_selection_score,params,val_rmse,val_mae,val_spearman,val_bias,val_top5_hit_rate,val_top10_hit_rate,val_top20_hit_rate,val_strong_n,val_strong_rmse,val_strong_mae,val_strong_bias,test_rmse,test_mae,test_spearman,test_bias,test_top5_hit_rate,test_top10_hit_rate,test_top20_hit_rate,test_strong_n,test_strong_rmse,test_strong_mae,test_strong_bias,selected_k,base_feature_set,strong_weight_alpha
42,01_anchor_baseline,A1FlatFull-TunedSVR,A1FlatFull,906,rmse,1.1840536698706328,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1840536698706328,0.9390055347581011,0.41178220253354775,0.08659265206252065,0.8,0.5,0.55,4,1.8317039824567383,1.568435855067571,-1.568435855067571,1.130973933366458,0.9009010418697881,0.4033663436247466,0.10076972554524495,0.2,0.3,0.45,2,1.9602848807374853,1.858359268394075,-1.858359268394075,,,
42,01_anchor_baseline,A1FlatDiagOnly-TunedSVR,A1FlatDiagOnly,375,rmse,1.1867119373454724,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.03}",1.1867119373454724,0.9246418622345938,0.4285614305866462,0.10041783507222377,0.6,0.6,0.65,4,1.7469263402421105,1.549818442893564,-1.549818442893564,1.1791469076395793,0.9045826531711351,0.3719949610395479,0.18654450329595898,0.4,0.3,0.45,2,1.775411282390699,1.7189758602789702,-1.7189758602789702,,,
42,01_anchor_baseline,A1FlatPairOnly-TunedSVR,A1FlatPairOnly,450,rmse,1.1735097440362905,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1735097440362905,0.9298846833225948,0.4049060433835293,0.08565646811796815,0.8,0.4,0.5,4,1.7654350972162705,1.510087407789569,-1.510087407789569,1.1104246060722955,0.9000394852407633,0.4752248312306646,0.04165102536274312,0.2,0.5,0.55,2,1.7255643384243544,1.6334201272134874,-1.6334201272134874,,,
42,01_anchor_baseline,A1FlatNoHeur-TunedSVR,A1FlatNoHeur,831,rmse,1.186933248865431,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.186933248865431,0.9337652924825918,0.4081254156064387,0.08900924364911358,0.8,0.4,0.55,4,1.7956789282217456,1.538685058157619,-1.538685058157619,1.1319360053095413,0.8981224008892232,0.3931833293109788,0.11014992006486779,0.2,0.3,0.5,2,1.9008013691441525,1.789249619439734,-1.789249619439734,,,
42,01_anchor_baseline,A1FlatNoPairwise-TunedSVR,A1FlatNoPairwise,456,rmse,1.1823362482895479,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1823362482895479,0.9313601568710338,0.41115232535950036,0.08051202977148572,0.6,0.5,0.6,4,1.8444640016190463,1.640272201815097,-1.640272201815097,1.1724305951843532,0.9064044356063283,0.32505161498484175,0.16229019277539766,0.2,0.4,0.35,2,1.7574466792490184,1.7190458576806296,-1.7190458576806296,,,
42,01_anchor_baseline,A1FlatDiagCorePair-TunedSVR,A1FlatDiagCorePair,700,rmse,1.1872787764571522,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1872787764571522,0.9309317846263984,0.40903523819117404,0.08782308024267232,0.8,0.4,0.5,4,1.7812548295935429,1.5236463571495042,-1.5236463571495042,1.1247989071621338,0.8955276763916379,0.4382895336080464,0.11640522307940195,0.2,0.3,0.5,2,1.8903993206709975,1.7693046938288712,-1.7693046938288712,,,
42,01_anchor_baseline,A1FlatDiagCoreTerminalPair-TunedSVR,A1FlatDiagCoreTerminalPair,775,rmse,1.1892488999457378,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1892488999457378,0.9348819794768505,0.40943765971903767,0.09329655975232595,0.8,0.4,0.55,4,1.7841263561320044,1.5258297915284618,-1.5258297915284618,1.126045472583895,0.8948941749249268,0.43673233726109567,0.1166537447619282,0.2,0.3,0.5,2,1.8879899554616233,1.7651246342023188,-1.7651246342023188,,,
42,01_anchor_baseline,A1FlatDiagAllPair-TunedSVR,A1FlatDiagAllPair,825,rmse,1.1894264736755924,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1894264736755924,0.9351725496874419,0.40852783713430235,0.09370994437419755,0.8,0.4,0.55,4,1.784470855153773,1.5261565124412448,-1.5261565124412448,1.1261435145197305,0.894839888784039,0.43585750785269634,0.11664564915273858,0.2,0.3,0.5,2,1.887969752790642,1.7649448412956854,-1.7649448412956854,,,
42,02_full_adaptive_selected_baseline,A1FlatSelected-TunedSVR,A1FlatFull_AdaptiveSelected,400,rmse,1.1866443127170858,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1866443127170858,0.9407955518270255,0.4007068622232127,0.0873857413601274,0.8,0.5,0.55,4,1.8160632030960595,1.5456209225195028,-1.5456209225195028,1.1309520012451861,0.899309350086996,0.4075830213732312,0.09756464850806663,0.2,0.4,0.5,2,1.99674126874844,1.8854741337575422,-1.8854741337575422,400.0,A1FlatFull,
42,03_diagcorepair_selected_svr,A1FlatDiagCorePairSelectedK50-TunedSVR,A1FlatDiagCorePair_SelectedK50,50,rmse,1.1889939513636278,"{""C"": 10.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",1.1889939513636278,0.9432715627678923,0.49240648081162675,0.08584657194910751,0.6,0.5,0.55,4,1.9573928919131427,1.7346633541735124,-1.7346633541735124,1.1876523239188386,0.944158535044781,0.3518213948818601,0.17510009358469567,0.4,0.4,0.4,2,1.531039242484687,1.4955305659011904,-1.4955305659011904,50.0,A1FlatDiagCorePair,
